"Country","mean_2019_prob_diag_untreated","label"
"Niger",0.035954573179433,"low"
"Mexico",0.0516937238628144,"low"
"Papua New Guinea",0.0517404468365146,"low"
"Oman",0.0548060389447832,"low"
"Samoa",0.0574541107171019,"low"
"Rwanda",0.0587143780753886,"low"
"Tonga",0.0606890599304649,"low"
"United Arab Emirates",0.0628623396458048,"low"
"Ireland",0.0631710445467499,"low"
"Egypt",0.0648221027116458,"low"
"Kuwait",0.0652575729035768,"low"
"Ghana",0.0652600039435376,"low"
"Occupied Palestinian Territory",0.0654159046028712,"low"
"Cote d'Ivoire",0.0655431213448398,"low"
"Benin",0.0657478661663676,"low"
"Mozambique",0.0681520621531089,"low"
"Brazil",0.0682904325605959,"low"
"Namibia",0.0685387058062135,"low"
"Lesotho",0.0695933581739171,"low"
"Lebanon",0.0707580071031976,"low"
"Albania",0.0723371032996866,"low"
"South Africa",0.0738206199660554,"low"
"Chad",0.0746441472583023,"low"
"Liberia",0.0748904756118022,"low"
"French Polynesia",0.0751655265533806,"low"
"Sudan",0.0754865174721792,"low"
"Armenia",0.0760888390449466,"low"
"China",0.0765508212949433,"low"
"India",0.0782883917279426,"low"
"Turkey",0.0793017570291078,"low"
"American Samoa",0.0795096178567394,"low"
"Bangladesh",0.0798281705562193,"low"
"Sierra Leone",0.0811340106160068,"low"
"Azerbaijan",0.0811883590154544,"low"
"Uzbekistan",0.0821152078732993,"low"
"Vanuatu",0.082240883863726,"low"
"Saint Kitts and Nevis",0.0823574556387476,"low"
"Peru",0.0823581222950855,"low"
"United States of America",0.0828365709189234,"low"
"Marshall Islands",0.0828660413429414,"low"
"Gabon",0.0837202329894258,"low"
"Pakistan",0.0845893396558912,"low"
"Algeria",0.0846889457264081,"low"
"Cameroon",0.0852656129171032,"low"
"Malawi",0.0856105699043621,"low"
"Dominica",0.0872998607501626,"low"
"Qatar",0.0875512622942716,"low"
"Libya",0.0875963080068611,"low"
"Costa Rica",0.0883839271495738,"low"
"Bahamas",0.0886082628377217,"low"
"Burkina Faso",0.0893613922740605,"low"
"Lao PDR",0.0901141251477795,"low"
"Congo",0.0920474639159854,"low"
"Jordan",0.0922395888144305,"low"
"Trinidad and Tobago",0.0923331827629171,"low"
"Uganda",0.0924169984966265,"low"
"Cambodia",0.0937369521486511,"low"
"Afghanistan",0.0949625143932009,"low"
"Kyrgyzstan",0.0964648039009981,"low"
"Philippines",0.0970079466117517,"low"
"Swaziland",0.0971139132689207,"low"
"Timor-Leste",0.0972503467372313,"low"
"DR Congo",0.0975287224977325,"low"
"Tuvalu",0.0979953498459885,"low"
"Eritrea",0.0991958913794565,"high"
"Mali",0.0993604079198958,"high"
"Central African Republic",0.102552703011349,"high"
"Sri Lanka",0.102688857092492,"high"
"Kiribati",0.103233234321332,"high"
"Ukraine",0.103851216879215,"high"
"Guatemala",0.103883464199031,"high"
"Nepal",0.106255881836769,"high"
"Gambia",0.106502097412979,"high"
"Comoros",0.106862940726341,"high"
"Turkmenistan",0.109157427556837,"high"
"United Kingdom",0.109807175477172,"high"
"Fiji",0.110014359658439,"high"
"Grenada",0.110560791951718,"high"
"Australia",0.111096692517619,"high"
"Indonesia",0.112389586044004,"high"
"Mongolia",0.112837964961166,"high"
"Morocco",0.113842598856516,"high"
"Cabo Verde",0.114905247565923,"high"
"Togo",0.115206285463357,"high"
"Uruguay",0.115508022438638,"high"
"Cuba",0.117132984877173,"high"
"Tajikistan",0.117937700698665,"high"
"Tanzania",0.118201364285148,"high"
"Germany",0.118976012127262,"high"
"Ecuador",0.119132655295939,"high"
"El Salvador",0.121410856324164,"high"
"Maldives",0.121795109613858,"high"
"Madagascar",0.122381741287631,"high"
"Solomon Islands",0.128488977538214,"high"
"Saint Lucia",0.129956835081293,"high"
"Micronesia (Federated States of)",0.132990033681353,"high"
"France",0.133586442124074,"high"
"Belgium",0.134192436614856,"high"
"Denmark",0.134279019357093,"high"
"Guinea",0.134344226538005,"high"
"Botswana",0.135270254677086,"high"
"Palau",0.135946961249112,"high"
"Guyana",0.136383746525913,"high"
"Nauru",0.140269195939492,"high"
"Kenya",0.140900301331654,"high"
"Saint Vincent and the Grenadines",0.142405008967346,"high"
"Chile",0.143868022156102,"high"
"Poland",0.145581101122681,"high"
"Georgia",0.145795334299674,"high"
"Italy",0.148100867451947,"high"
"Bhutan",0.148745675823162,"high"
"Viet Nam",0.149261744889317,"high"
"Sao Tome and Principe",0.150060313457281,"high"
"Russian Federation",0.162598432135223,"high"
"Zambia",0.162609226951625,"high"
"Moldova",0.163824891705471,"high"
"Serbia",0.16593828473516,"high"
"Iraq",0.167144396882326,"high"
"Iceland",0.172800772262897,"high"
"Belarus",0.176680327270747,"high"
"Ethiopia",0.185192728570771,"high"
"Japan",0.189107670143216,"high"
"Argentina",0.194279529530326,"high"
"Lithuania",0.202383072465107,"high"
"Canada",0.203076012671657,"high"
"Haiti",0.209395351317941,"high"
"Spain",0.218265367045651,"high"
"New Zealand",0.231661667096111,"high"
